energy_ev,gradscf_strength_per_ev,pyscf_strength_per_ev,difference
1.609261157547631493e-01,1.309656149956286229e-95,1.309701871934540839e-95,-4.572197825460938948e-100
1.649492686486322413e-01,2.548393065020881608e-95,2.548476782412242120e-95,-8.371739136051268361e-100
1.689724215425013054e-01,4.953845301397159434e-95,4.953998436089498307e-95,-1.531346923388727327e-99
1.729955744363703973e-01,9.620227977416045285e-95,9.620507810295269702e-95,-2.798328792244168132e-99
1.770187273302394615e-01,1.866359000377894528e-94,1.866410085115057692e-94,-5.108473716316416908e-99
1.810418802241085534e-01,3.617194857946210714e-94,3.617288022536474531e-94,-9.316459026381670451e-99
1.850650331179776176e-01,7.003506273563367366e-94,7.003676011105803865e-94,-1.697375424364996460e-98
1.890881860118467095e-01,1.354646680463080012e-93,1.354677574330838333e-93,-3.089386775832080638e-98
1.931113389057158014e-01,2.617601012970725586e-93,2.617657186799820558e-93,-5.617382909497138703e-98
1.971344917995848656e-01,5.052982112857186654e-93,5.053084151147037444e-93,-1.020382898507902723e-97
2.011576446934539575e-01,9.744486753197491039e-93,9.744671918556575303e-93,-1.851653590842633027e-97
2.051807975873230216e-01,1.877314679551591082e-92,1.877348247420888001e-92,-3.356786929691874216e-97
2.092039504811921136e-01,3.613117460838302336e-92,3.613178254080380225e-92,-6.079324207788886889e-97
2.132271033750611777e-01,6.946946956010955058e-92,6.947056946305486957e-92,-1.099902945318987005e-96
2.172502562689302696e-01,1.334359287983080004e-91,1.334379168194483715e-91,-1.988021140371047010e-96
2.212734091627993338e-01,2.560462861498139564e-91,2.560498758257388625e-91,-3.589675924906091182e-96
2.252965620566684257e-01,4.908299745234863485e-91,4.908364497824240845e-91,-6.475258937736062507e-96
2.293197149505374899e-01,9.399625928080777650e-91,9.399742616227726660e-91,-1.166881469490097730e-95
2.333428678444065818e-01,1.798278542318043495e-90,1.798299549320979576e-90,-2.100700293608050199e-95
2.373660207382756460e-01,3.436926554966079162e-90,3.436964335600755322e-90,-3.778063467616023388e-95
2.413891736321447379e-01,6.562214754367765824e-90,6.562282634434742361e-90,-6.788006697653657815e-95
2.454123265260138020e-01,1.251692137314296165e-89,1.251704321126406440e-89,-1.218381211027552974e-94
2.494354794198828940e-01,2.385126991786744338e-89,2.385148838801410693e-89,-2.184701466635500592e-94
2.534586323137519859e-01,4.540381946334491762e-89,4.540421081668944996e-89,-3.913533445323367691e-94
2.574817852076210500e-01,8.634559110335203673e-89,8.634629145171435157e-89,-7.003483623148405687e-94
2.615049381014901142e-01,1.640419199335508055e-88,1.640431719999803535e-88,-1.252066429548013787e-93
2.655280909953592339e-01,3.113410732070629731e-88,3.113433093980313265e-88,-2.236190968353390973e-93
2.695512438892282980e-01,5.903164566363617557e-88,5.903204465065124546e-88,-3.989870150698889011e-93
2.735743967830973622e-01,1.118150495922249668e-87,1.118157607681879478e-87,-7.111759629810305943e-93
2.775975496769664264e-01,2.115838565939781094e-87,2.115851229735852079e-87,-1.266379607098473712e-92
2.816207025708355460e-01,3.999739388259256150e-87,3.999761916090355751e-87,-2.252783109960057081e-92
2.856438554647046102e-01,7.553491741048858042e-87,7.553531776395493485e-87,-4.003534663544331107e-92
2.896670083585736744e-01,1.425052027581280041e-86,1.425059135404942000e-86,-7.107823661959153301e-92
2.936901612524427385e-01,2.685842736726238357e-86,2.685855343346602312e-86,-1.260662036395506797e-91
2.977133141463118582e-01,5.057051045751287595e-86,5.057073383005953568e-86,-2.233725466597315582e-91
3.017364670401809223e-01,9.512200431355301787e-86,9.512239970761201895e-86,-3.953940590010757893e-91
3.057596199340499865e-01,1.787440301981575858e-85,1.787447293956313753e-85,-6.991974737894840631e-91
3.097827728279190507e-01,3.355436287514652516e-85,3.355448639565969211e-85,-1.235205131669587072e-90
3.138059257217881703e-01,6.292646653647407884e-85,6.292668453220993454e-85,-2.179957358557064715e-90
3.178290786156572345e-01,1.178920698044318963e-84,1.178924541543099302e-84,-3.843498780339411434e-90
3.218522315095262987e-01,2.206493930757048382e-84,2.206500700552306979e-84,-6.769795258597509367e-90
3.258753844033954183e-01,4.125606282006242045e-84,4.125618194276317340e-84,-1.191227007529501245e-89
3.298985372972644825e-01,7.706190132922120928e-84,7.706211073272149863e-84,-2.094035002893589451e-89
3.339216901911335467e-01,1.437998914692240697e-83,1.438002592118595556e-83,-3.677426354858315417e-89
3.379448430850026108e-01,2.680675803826168618e-83,2.680682255536862462e-83,-6.451710693843726712e-89
3.419679959788717305e-01,4.992256927530349692e-83,4.992268235297754206e-83,-1.130776740451355923e-88
3.459911488727407947e-01,9.287877101413346282e-83,9.287896900730778944e-83,-1.979931743266251096e-88
3.500143017666098588e-01,1.726246813020776086e-82,1.726250276361239403e-82,-3.463340463316798572e-88
3.540374546604789230e-01,3.205207994821909882e-82,3.205214047004898987e-82,-6.052182989105307779e-88
3.580606075543480427e-01,5.945336533845852507e-82,5.945347099615052164e-82,-1.056576919965709278e-87
3.620837604482171068e-01,1.101700549434301391e-81,1.101702392168695050e-81,-1.842734393658436844e-87
3.661069133420861710e-01,2.039471248218685637e-81,2.039474458900146090e-81,-3.210681460453364162e-87
3.701300662359552351e-01,3.771711849255741166e-81,3.771717437879980102e-81,-5.588624238935691663e-87
3.741532191298243548e-01,6.968291710006704187e-81,6.968301428215892218e-81,-9.718209188030208796e-87
3.781763720236934190e-01,1.286118655268842848e-80,1.286120343537611973e-80,-1.688268769124460659e-86
3.821995249175624831e-01,2.371388177399114184e-80,2.371391107424333041e-80,-2.930025218857056515e-86
3.862226778114316028e-01,4.368085804176287682e-80,4.368090884320752192e-80,-5.080144464510592754e-86
3.902458307053006670e-01,8.037973483026099537e-80,8.037982282488540046e-80,-8.799462440508908014e-86
3.942689835991697311e-01,1.477640803983622047e-79,1.477642326675717694e-79,-1.522692095646422075e-85
3.982921364930387953e-01,2.713676535214397946e-79,2.713679167569754942e-79,-2.632355356995805647e-85
4.023152893869079150e-01,4.978679633125318276e-79,4.978684179381760125e-79,-4.546256441848349798e-85
4.063384422807769791e-01,9.125090515219969836e-79,9.125098359280373197e-79,-7.844060403361168195e-85
4.103615951746460433e-01,1.670810049329855130e-78,1.670811401421877446e-78,-1.352092022316439212e-84
4.143847480685151075e-01,3.056214798148071876e-78,3.056217126509990968e-78,-2.328361919091792630e-84
4.184079009623842271e-01,5.584799262100023615e-78,5.584803267762552154e-78,-4.005662528538308750e-84
4.224310538562532913e-01,1.019525655389410684e-77,1.019526343849328426e-77,-6.884599177412096607e-84
4.264542067501223555e-01,1.859326452281227140e-77,1.859327634408503919e-77,-1.182127276779546123e-83
4.304773596439914196e-01,3.387505702205042438e-77,3.387507730036575464e-77,-2.027831533025643808e-83
4.345005125378605393e-01,6.165542840889369659e-77,6.165546316110507162e-77,-3.475221137503408964e-83
4.385236654317296034e-01,1.121061666183219066e-76,1.121062261183349166e-76,-5.950001301000492174e-83
4.425468183255986676e-01,2.036360119010077622e-76,2.036361136749469727e-76,-1.017739392104668619e-82
4.465699712194677318e-01,3.695273277911506558e-76,3.695275017081781977e-76,-1.739170275418970677e-82
4.505931241133368514e-01,6.698929970179801887e-76,6.698932939348514549e-76,-2.969168712662369974e-82
4.546162770072059156e-01,1.213196676499592952e-75,1.213197182925548352e-75,-5.064259554003122644e-82
4.586394299010749798e-01,2.194946220973885259e-75,2.194947083925788133e-75,-8.629519028736852291e-82
4.626625827949440994e-01,3.967194140334511578e-75,3.967195609424255582e-75,-1.469089744003917347e-81
4.666857356888131636e-01,7.163246917467417165e-75,7.163249416100156661e-75,-2.498632739495731966e-81
4.707088885826822278e-01,1.292121304481906608e-74,1.292121729052886428e-74,-4.245709798195468466e-81
4.747320414765512919e-01,2.328431954074887438e-74,2.328432674839901437e-74,-7.207650139993964109e-81
4.787551943704204116e-01,4.191705012926574742e-74,4.191706235385472145e-74,-1.222458897402951173e-80
4.827783472642894758e-01,7.538497084710427330e-74,7.538499156156564277e-74,-2.071446136946935339e-80
4.868015001581585399e-01,1.354396205237556842e-73,1.354396555919720368e-73,-3.506821635253739356e-80
4.908246530520276041e-01,2.430936324876542574e-73,2.430936918015697914e-73,-5.931391553398874313e-80
4.948478059458967238e-01,4.358813988980709925e-73,4.358814991295500651e-73,-1.002314790725492640e-79
4.988709588397657879e-01,7.807823488991666036e-73,7.807825181218426745e-73,-1.692226760708900555e-79
5.028941117336348521e-01,1.397199865734166669e-72,1.397200151179139841e-72,-2.854449731723945891e-79
5.069172646275039718e-01,2.497778837004234802e-72,2.497779318062623964e-72,-4.810583891617497197e-79
5.109404175213729804e-01,4.460836708049189067e-72,4.460837518053381025e-72,-8.100041919579062299e-79
5.149635704152421001e-01,7.958762922235545347e-72,7.958764284915412052e-72,-1.362679866704623456e-78
5.189867233091112197e-01,1.418540396729282712e-71,1.418540625773833339e-71,-2.290445506273119374e-78
5.230098762029802284e-01,2.525833656343211575e-71,2.525834040995728078e-71,-3.846525165021136010e-78
5.270330290968493481e-01,4.492982029717847289e-71,4.492982675139045617e-71,-6.454211983280729203e-78
5.310561819907184677e-01,7.984201983627496301e-71,7.984203065676486179e-71,-1.082048989877864419e-77
5.350793348845874764e-01,1.417409197691643115e-70,1.417409378943701255e-70,-1.812520581397594857e-77
5.391024877784565961e-01,2.513771950495177574e-70,2.513772253852842116e-70,-3.033576645425191460e-77
5.431256406723256047e-01,4.453725056907781087e-70,4.453725564210467970e-70,-5.073026868829312761e-77
5.471487935661947244e-01,7.882932869198107223e-70,7.882933716860657486e-70,-8.476625502626609826e-77
5.511719464600638441e-01,1.393859986683741719e-69,1.393860128206584650e-69,-1.415228429302785068e-76
5.551950993539328527e-01,2.462166237919739903e-69,2.462166474012585079e-69,-2.360928451757526683e-76
5.592182522478019724e-01,4.344927062797232793e-69,4.344927456343354862e-69,-3.935461220692492560e-76
5.632414051416710921e-01,7.659748441814345015e-69,7.659749097310186379e-69,-6.554958413633956171e-76
5.672645580355401007e-01,1.349004571214137737e-68,1.349004680310714744e-68,-1.090965770070990209e-75
5.712877109294092204e-01,2.373445335064925099e-68,2.373445516500980523e-68,-1.814360554238208329e-75
5.753108638232782290e-01,4.171689186282174366e-68,4.171689487799877535e-68,-3.015177031680902054e-75
5.793340167171473487e-01,7.325066160099235491e-68,7.325066660807897833e-68,-5.007086623421236617e-75
5.833571696110164684e-01,1.284925823745964100e-67,1.284925906835379412e-67,-8.308941531207897855e-75
5.873803225048854770e-01,2.251704838844141289e-67,2.251704976628611361e-67,-1.377844700716492657e-74
5.914034753987545967e-01,3.941955911691271471e-67,3.941956140017433616e-67,-2.283261621448047296e-74
5.954266282926237164e-01,6.894121961232654368e-67,6.894122339342868280e-67,-3.781102139121757928e-74
5.994497811864927250e-01,1.204517348199034833e-66,1.204517410773113867e-66,-6.257407903450137260e-74
6.034729340803618447e-01,2.102393738819485098e-66,2.102393842307660931e-66,-1.034881758330228671e-73
6.074960869742309644e-01,3.665911256950891204e-66,3.665911427997893119e-66,-1.710470019146163994e-73
6.115192398680999730e-01,6.385820965512676093e-66,6.385821248049197855e-66,-2.825365217616421756e-73
6.155423927619690927e-01,1.111267023849683452e-65,1.111267070491536559e-65,-4.664185310724148757e-73
6.195655456558381013e-01,1.931910548164426952e-65,1.931910625117808069e-65,-7.695338111721273435e-73
6.235886985497072210e-01,3.355231559925499218e-65,3.355231686818389465e-65,-1.268928902472777053e-72
6.276118514435763407e-01,5.821365671457963048e-65,5.821365880585889919e-65,-2.091279268714381346e-72
6.316350043374453493e-01,1.009006957139740714e-64,1.009006991587562159e-64,-3.444782144545923231e-72
6.356581572313144690e-01,1.747150588306549966e-64,1.747150645020937833e-64,-5.671438786701790349e-72
6.396813101251835887e-01,3.022271075069668096e-64,3.022271168398160267e-64,-9.332849217014849187e-72
6.437044630190525973e-01,5.222799916546404327e-64,5.222800070056106568e-64,-1.535097022404929710e-71
6.477276159129217170e-01,9.016547193204781561e-64,9.016547445590449205e-64,-2.523856676435364559e-71
6.517507688067908367e-01,1.555048825855442650e-63,1.555048867332616850e-63,-4.147717419975724613e-71
6.557739217006598453e-01,2.679258992707407773e-63,2.679259060843580671e-63,-6.813617289804817907e-71
6.597970745945289650e-01,4.611606708800139650e-63,4.611606820687460907e-63,-1.118873212568721046e-70
6.638202274883979737e-01,7.929699419710025724e-63,7.929699603374190652e-63,-1.836641649276533835e-70
6.678433803822670933e-01,1.362159885134180872e-62,1.362159915272420868e-62,-3.013823999537401512e-70
6.718665332761362130e-01,2.337579259353825404e-62,2.337579308792892768e-62,-4.943906736381022220e-70
6.758896861700052217e-01,4.007481276503156362e-62,4.007481357578451417e-62,-8.107529505542921360e-70
6.799128390638743413e-01,6.863467104504897561e-62,6.863467237421769529e-62,-1.329168719674508475e-69
6.839359919577434610e-01,1.174309323371833970e-61,1.174309345156701974e-61,-2.178486800449811392e-69
6.879591448516124697e-01,2.007189420608644544e-61,2.007189456304519342e-61,-3.569587479787838356e-69
6.919822977454815893e-01,3.427370918747163230e-61,3.427370977222983164e-61,-5.847581993380170289e-69
6.960054506393505980e-01,5.846564610617878138e-61,5.846564706390113988e-61,-9.577223584999573987e-69
7.000286035332197176e-01,9.963393830597241601e-61,9.963393987420825316e-61,-1.568235837146285854e-68
7.040517564270888373e-01,1.696214373727429844e-60,1.696214399401638052e-60,-2.567420820870668105e-68
7.080749093209578460e-01,2.884835666091606511e-60,2.884835708116184322e-60,-4.202457781055221380e-68
7.120980622148269656e-01,4.901492203987437572e-60,4.901492272763485163e-60,-6.877604759059429396e-68
7.161212151086960853e-01,8.319600101874598742e-60,8.319600214412152472e-60,-1.125375537295386035e-67
7.201443680025650940e-01,1.410728644841245143e-59,1.410728663252849690e-59,-1.841160454779106764e-67
7.241675208964342136e-01,2.389744197969627722e-59,2.389744228087568529e-59,-3.011794080727332654e-67
7.281906737903033333e-01,4.044140588760606519e-59,4.044140638020811419e-59,-4.926020489974712856e-67
7.322138266841723420e-01,6.837037652376005338e-59,6.837037732933545355e-59,-8.055754001711110930e-67
7.362369795780414616e-01,1.154719756287274639e-58,1.154719769459589550e-58,-1.317231491137530423e-66
7.402601324719104703e-01,1.948283348937063418e-58,1.948283370472801858e-58,-2.153573843968926485e-66
7.442832853657795900e-01,3.283934900457396936e-58,3.283934935661937974e-58,-3.520454103807896806e-66
7.483064382596487096e-01,5.529729121037297943e-58,5.529729178579164909e-58,-5.754186696557813249e-66
7.523295911535177183e-01,9.302080073116774944e-58,9.302080167155804021e-58,-9.403902907739245812e-66
7.563527440473868380e-01,1.563231103665959628e-57,1.563231119032251958e-57,-1.536629233012049697e-65
7.603758969412559576e-01,2.624419158555975195e-57,2.624419183661645563e-57,-2.510567036856911550e-65
7.643990498351249663e-01,4.401595299122259058e-57,4.401595340133838071e-57,-4.101157901240807652e-65
7.684222027289940860e-01,7.374862317517478547e-57,7.374862384501188886e-57,-6.698371033875795010e-65
7.724453556228632056e-01,1.234424754540980868e-56,1.234424765479482330e-56,-1.093850146131586286e-64
7.764685085167322143e-01,2.064154618288898371e-56,2.064154636148404963e-56,-1.785950659173658957e-64
7.804916614106013339e-01,3.448154578880314063e-56,3.448154608034134689e-56,-2.915382062593003402e-64
7.845148143044703426e-01,5.754374540574303963e-56,5.754374588154746253e-56,-4.758044228946582404e-64
7.885379671983394623e-01,9.593485483567675914e-56,9.593485561204481235e-56,-7.763680532089829329e-64
7.925611200922085819e-01,1.597797059287917795e-55,1.597797071952849699e-55,-1.266493190388651288e-63
7.965842729860775906e-01,2.658481914354508352e-55,2.658481935009494835e-55,-2.065498648270243394e-63
8.006074258799467103e-01,4.418885013451630192e-55,4.418885047128541560e-55,-3.367691136723445348e-63
8.046305787738158299e-01,7.337676975813316611e-55,7.337677030705888862e-55,-5.489257225110485395e-63
8.086537316676848386e-01,1.217226434252163236e-54,1.217226443196706385e-54,-8.944543148663662594e-63
8.126768845615539583e-01,2.017209753514860196e-54,2.017209768085047356e-54,-1.457018715948059817e-62
8.167000374554229669e-01,3.339624522242378246e-54,3.339624545968230194e-54,-2.372585194704331729e-62
8.207231903492920866e-01,5.523458828664028892e-54,5.523458867284619480e-54,-3.862059058776483752e-62
8.247463432431612063e-01,9.126231873629706931e-54,9.126231936471702305e-54,-6.284199537435729953e-62
8.287694961370302149e-01,1.506394684051014429e-53,1.506394694272328928e-53,-1.022131449858406589e-61
8.327926490308993346e-01,2.484007757757119030e-53,2.484007774375101180e-53,-1.661798215075440344e-61
8.368158019247684543e-01,4.091984868869608519e-53,4.091984895875495121e-53,-2.700588660240660256e-61
8.408389548186374629e-01,6.734137632776637232e-53,6.734137676643556354e-53,-4.386691912269248764e-61
8.448621077125065826e-01,1.107125503769931395e-52,1.107125510892010951e-52,-7.122079556409351386e-61
8.488852606063757023e-01,1.818354770126183552e-52,1.818354781683599219e-52,-1.155741566728148280e-60
8.529084135002447109e-01,2.983508523658077787e-52,2.983508542403077406e-52,-1.874499961885166652e-60
8.569315663941138306e-01,4.890382667291599719e-52,4.890382697677811907e-52,-3.038621218780701927e-60
8.609547192879828392e-01,8.008022819209170993e-52,8.008022868438906362e-52,-4.922973536951263001e-60
8.649778721818519589e-01,1.310010143235727950e-51,1.310010151206976657e-51,-7.971248706580359079e-60
8.690010250757210786e-01,2.140873037170784227e-51,2.140873050070164047e-51,-1.289937982050002993e-59
8.730241779695900872e-01,3.495216361009436760e-51,3.495216381870925506e-51,-2.086148874638860314e-59
8.770473308634592069e-01,5.700646546508925843e-51,5.700646580225920733e-51,-3.371699488959233403e-59
8.810704837573283266e-01,9.288403262929746687e-51,9.288403317389340473e-51,-5.445959378654716750e-59
8.850936366511973352e-01,1.511906408993138841e-50,1.511906417783590652e-50,-8.790451810825008712e-59
8.891167895450664549e-01,2.458530789407003994e-50,2.458530803586298512e-50,-1.417929451862680252e-58
8.931399424389354635e-01,3.993864191738269581e-50,3.993864214594257347e-50,-2.285598776613325333e-58
8.971630953328045832e-01,6.481534427649598636e-50,6.481534464465703751e-50,-3.681610511527404089e-58
9.011862482266737029e-01,1.050822272737179534e-49,1.050822278663224349e-49,-5.926044815016892475e-58
9.052094011205427115e-01,1.701953162916188591e-49,1.701953172447928753e-49,-9.531740161530496125e-58
9.092325540144118312e-01,2.753802799814211120e-49,2.753802815134132987e-49,-1.531992186702838072e-57
9.132557069082809509e-01,4.451280555360110765e-49,4.451280579964502512e-49,-2.460439174711864423e-57
9.172788598021499595e-01,7.187932604787874566e-49,7.187932644273018932e-49,-3.948514436555105393e-57
9.213020126960190792e-01,1.159551181864716437e-48,1.159551188196347336e-48,-6.331630899255079911e-57
9.253251655898881989e-01,1.868713603902064672e-48,1.868713614047124997e-48,-1.014506032555541888e-56
9.293483184837572075e-01,3.008586270957613587e-48,3.008586287199738157e-48,-1.624212456968779543e-56
9.333714713776263272e-01,4.838927211746685757e-48,4.838927237729152842e-48,-2.598246708571969915e-56
9.373946242714953359e-01,7.775039557733818124e-48,7.775039599263526259e-48,-4.152970813477996756e-56
9.414177771653644555e-01,1.248024247091619492e-47,1.248024253724103828e-47,-6.632484335240650420e-56
9.454409300592335752e-01,2.001291434941724260e-47,2.001291445525274407e-47,-1.058355014728804531e-55
9.494640829531025839e-01,3.206007604845853846e-47,3.206007621719758617e-47,-1.687390477070553615e-55
9.534872358469717035e-01,5.130806751588952950e-47,5.130806778468859057e-47,-2.687990610734359197e-55
9.575103887408408232e-01,8.203018004625576891e-47,8.203018047407993073e-47,-4.278241618157854146e-55
9.615335416347098318e-01,1.310172772538759313e-46,1.310172779342120744e-46,-6.803361431113143494e-55
9.655566945285789515e-01,2.090500967189175483e-46,2.090500977998602027e-46,-1.080942654389011630e-54
9.695798474224480712e-01,3.332261486197507332e-46,3.332261503356610073e-46,-1.715910274108611449e-54
9.736030003163170798e-01,5.306335096371864733e-46,5.306335123586280470e-46,-2.721441573695901058e-54
9.776261532101861995e-01,8.441452263297371378e-46,8.441452306421165259e-46,-4.312379388089921701e-54
9.816493061040552082e-01,1.341549072267834948e-45,1.341549079094987239e-45,-6.827152290777325045e-54
9.856724589979243278e-01,2.129917861454532833e-45,2.129917872253189983e-45,-1.079865714922563176e-53
9.896956118917934475e-01,3.378205352470967241e-45,3.378205369535801257e-45,-1.706483401645096277e-53
9.937187647856624562e-01,5.352739813819656161e-45,5.352739840762090037e-45,-2.694243387582786709e-53
9.977419176795315758e-01,8.472920266852314342e-45,8.472920309350624867e-45,-4.249831052540153244e-53
1.001765070573400696e+00,1.339852538150822212e-44,1.339852544848134307e-44,-6.697312095167162086e-53
1.005788223467269704e+00,2.116643829710670433e-44,2.116643840255167565e-44,-1.054449713262814368e-52
1.009811376361138713e+00,3.340453759365086611e-44,3.340453775951326071e-44,-1.658623946033374593e-52
1.013834529255007944e+00,5.266596445434802797e-44,5.266596471499875404e-44,-2.606507260789539168e-52
1.017857682148876952e+00,8.295097916745415422e-44,8.295097957667977829e-44,-4.092256240676909028e-52
1.021880835042745961e+00,1.305208489546264058e-43,1.305208495965077501e-43,-6.418813442652920188e-52
1.025903987936615192e+00,2.051658911093731535e-43,2.051658921152282863e-43,-1.005855132856318947e-51
1.029927140830484200e+00,3.221790745183816986e-43,3.221790760931027508e-43,-1.574721052277335069e-51
1.033950293724353209e+00,5.054246235456784453e-43,5.054246260086234718e-43,-2.462945026499180443e-51
1.037973446618222439e+00,7.921042815890194444e-43,7.921042854375183247e-43,-3.848498880273741415e-51
1.041996599512091448e+00,1.240152871472646881e-42,1.240152877480399278e-42,-6.007752397480764698e-51
1.046019752405960457e+00,1.939701865268771305e-42,1.939701874638218939e-42,-9.369447633522704859e-51
1.050042905299829687e+00,3.030830447807360281e-42,3.030830462405514631e-42,-1.459815434939022452e-50
1.054066058193698696e+00,4.731024504599515119e-42,4.731024527322219643e-42,-2.272270452395552376e-50
1.058089211087567705e+00,7.377609283160922420e-42,7.377609318495799143e-42,-3.533487672337951726e-50
1.062112363981436935e+00,1.149325395667026445e-41,1.149325401156436534e-41,-5.489410089651406727e-50
1.066135516875305944e+00,1.788698952307039345e-41,1.788698960826729204e-41,-8.519689859177597003e-50
1.070158669769174953e+00,2.780983422553805973e-41,2.780983435763726140e-41,-1.320992016626794053e-49
1.074181822663043961e+00,4.319430050196605948e-41,4.319430070658832596e-41,-2.046222664767558536e-49
1.078204975556913192e+00,6.702261807687902749e-41,6.702261839352968376e-41,-3.166506562725890378e-49
1.082228128450782201e+00,1.038922685662333549e-40,1.038922690557693429e-40,-4.895359880304227458e-49
1.086251281344651209e+00,1.608836714053785249e-40,1.608836721614469157e-40,-7.560683908061023161e-49
1.090274434238520440e+00,2.488900902376765442e-40,2.488900914042481686e-40,-1.166571624404126245e-48
1.094297587132389449e+00,3.846538997163957318e-40,3.846539015145944388e-40,-1.798198706955427599e-48
1.098320740026258457e+00,5.938811929789045369e-40,5.938811957479759709e-40,-2.769071434036468320e-48
1.102343892920127688e+00,9.160009047120687035e-40,9.160009089720297122e-40,-4.259961008637811256e-48
1.106367045813996697e+00,1.411429306721040825e-39,1.411429313268094459e-39,-6.547053634055587009e-48
1.110390198707865705e+00,2.172647433620977320e-39,2.172647443673127940e-39,-1.005215061917632385e-47
1.114413351601734936e+00,3.341075431635808877e-39,3.341075447054441017e-39,-1.541863213947701161e-47
1.118436504495603945e+00,5.132751075212882532e-39,5.132751098839357804e-39,-2.362647527153136008e-47
1.122459657389472953e+00,7.877365965248405602e-39,7.877366001416302031e-39,-3.616789642903797387e-47
1.126482810283342184e+00,1.207754710066858826e-38,1.207754715598081968e-38,-5.531223141576369944e-47
1.130505963177211193e+00,1.849879140470347250e-38,1.849879148920892687e-38,-8.450545436943174960e-47
1.134529116071080201e+00,2.830576315928313570e-38,2.830576328826254916e-38,-1.289794134659068325e-46
1.138552268964949432e+00,4.326864346388325261e-38,4.326864366054615176e-38,-1.966628991492606802e-46
